Award Number (FAIN),2143405
Amendment Number,000
Award Recipient,REGENTS OF THE UNIVERSITY OF IDAHO
Awardee Address,"Office of Sponsored Programs 875 Perimeter Drive MS 3020 MOSCOW, ID 83844-3020"
Official Awardee Email Address,osp@uidaho.edu
Unique Entity Identifier (DUNS ID),QWYKRJH5NNJ3
Amendment Type,New Project
Amendment Date,01/24/2022
Proposal Number,2143405
Award Instrument,Continuing Grant
Award Date,01/24/2022
Award Period of Performance Start Date,03/01/2022
Award Period of Performance End Date,02/28/2027
Project Title,CAREER: Cellular Mechanisms of Killer Toxin Resistance in Yeasts
Managing Division Abbreviation,MCB
Research and Development Award,Yes
Funding Opportunity,NSF 20-525 Faculty Early Career Development Program
CFDA Number and Name,47.074 Biological Sciences
Amount Obligated by this Amendment,"$346,686"
Total Intended Award Amount,"$898,220"
Total Approved Cost Share or Matching Amount,$0
Total Amount Obligated to Date,"$346,686"
Expenditure Limitation,Not Applicable
Fiscal Year Increment Amount (for each year),"2024 $181,313, 2025 $181,563, 2026 $188,658"
Principal Investigator Name,Paul A Rowley
Principal Investigator Email,prowley@uidaho.edu
Principal Investigator Institution,REGENTS OF THE UNIVERSITY OF IDAHO
List of Co-Principal Investigator names,Not Found
List of Co-Principal Investigator emails,Not Found
Managing Grants Official Name and Email,"Jannele L. Gosey, jgosey@nsf.gov"
Awarding Official Name and Email,Not Found
Managing Program Officer Name and Email,"Steven D. Clouse, sclouse@nsf.gov"
Indirect Cost Rate,"48.5% 3 months, 50% 9 months"
Senior Personnel Count,2.00
Senior Personnel Calendar Months,2.00
Senior Personnel Academic Months,0.00
Senior Personnel Summer Months,0.00
Senior Personnel Amount,"$16,837"
Post Doctoral Count,0.00
Post Doctoral Calendar Months,0.00
Post Doctoral Academic Months,0.00
Post Doctoral Summer Months,0.00
Post Doctoral Amount,$0
Other Professionals Count,2.00
Other Professionals Calendar Months,24.00
Other Professionals Academic Months,0.00
Other Professionals Summer Months,0.00
Other Professionals Amount,"$73,080"
Graduate Students Count,2.00
Graduate Students Amount,"$50,000"
Undergraduate Students Count,2.00
Undergraduate Students Amount,"$13,520"
Secretarial - Clerical Count,0.00
Secretarial - Clerical Amount,$0
Other Count,0.00
Other Amount,$0
Fringe Benefits,"$36,672"
Equipment,$0
Travel: Domestic,$0
Travel: International,$0
Participant Support Costs Stipends,$0
Participant Support Costs Travel,$0
Participant Support Costs Subsistence,$0
Participant Support Costs Other,$0
Total Number of Participants,0.00
Total Participant Costs (F),$0
Materials Supplies,"$17,877"
Publication Costs,$0
Consultant Services,"$5,350"
Computer Services,$0
Subawards,$0
Other Direct Costs: Other,"$26,470"
Total Direct Costs (A Through G),"$239,806"
Indirect Costs,"$106,880"
Total Direct and Indirect Costs (H + I),"$346,686"
Fees,$0
Total Amount of Request (J) OR (J + K),"$346,686"
pdf_title,Select or Upload PDFs
