Award Number (FAIN),2039525
Amendment Number,000
Award Recipient,Regents of the University of Idaho
Awardee Address,"Office of Sponsored Programs 875 Perimeter Drive MS 3020 MOSCOW, ID 83844-3020"
Official Awardee Email Address,osp@uidaho.edu
Unique Entity Identifier (DUNS ID),075746271
Amendment Type,New Project
Amendment Date,03/12/2021
Proposal Number,2039525
Award Instrument,Standard Grant
Award Date,03/12/2021
Award Period of Performance Start Date,04/01/2021
Award Period of Performance End Date,03/31/2024
Project Title,Collaborative Research: Biomass burning smoke as a driver of multi-scale microbial teleconnections
Managing Division Abbreviation,DEB
Research and Development Award,Yes
Funding Opportunity,NSF 20-502 Division of Environmental Biology (core programs)
CFDA Number and Name,47.074 Biological Sciences
Amount Obligated by this Amendment,"$443,170"
Total Intended Award Amount,"$443,170"
Total Approved Cost Share or Matching Amount,$0
Total Amount Obligated to Date,"$443,170"
Expenditure Limitation,Not Applicable
Fiscal Year Increment Amount (for each year),Not Found
Principal Investigator Name,Leda N Kobziar
Principal Investigator Email,lkobziar@uidaho.edu
Principal Investigator Institution,Regents of the University of Idaho
List of Co-Principal Investigator names,"Adam C Watts, Brent C Christner, Adam Kochanski"
List of Co-Principal Investigator emails,Not Found
Managing Grants Official Name and Email,Staci Jenkins sjenkins@nsf.gov
Awarding Official Name and Email,Staci Jenkins sjenkins@nsf.gov
Managing Program Officer Name and Email,Andrea Porras-Alfaro aporrasa@nsf.gov
Indirect Cost Rate,47.5000%
Senior Personnel Count,3.00
Senior Personnel Calendar Months,0.00
Senior Personnel Academic Months,0.00
Senior Personnel Summer Months,3.00
Senior Personnel Amount,"$28,143"
Post Doctoral Count,2.00
Post Doctoral Calendar Months,24.00
Post Doctoral Academic Months,18.00
Post Doctoral Summer Months,6.00
Post Doctoral Amount,"$95,800"
Other Professionals Count,2.00
Other Professionals Calendar Months,0.00
Other Professionals Academic Months,0.00
Other Professionals Summer Months,6.00
Other Professionals Amount,"$15,334"
Graduate Students Count,2.00
Graduate Students Amount,"$40,000"
Undergraduate Students Count,0.00
Undergraduate Students Amount,$0
Secretarial - Clerical Count,0.00
Secretarial - Clerical Amount,$0
Other Count,0.00
Other Amount,$0
Fringe Benefits,"$49,846"
Equipment,$0
Travel: Domestic,"$11,326"
Travel: International,$0
Participant Support Costs Stipends,$0
Participant Support Costs Travel,$0
Participant Support Costs Subsistence,$0
Participant Support Costs Other,$0
Total Number of Participants,0.00
Total Participant Costs (F),$0
Materials Supplies,"$37,613"
Publication Costs,"$2,000"
Consultant Services,$0
Computer Services,$0
Subawards,$0
Other Direct Costs: Other,"$26,753"
Total Direct Costs (A Through G),"$306,815"
Indirect Costs,"$136,355"
Total Direct and Indirect Costs (H + I),"$443,170"
Fees,$0
Total Amount of Request (J) OR (J + K),"$443,170"
pdf_title,Select or Upload PDFs
