Award Number (FAIN),2146269
Amendment Number,000
Award Recipient,REGENTS OF THE UNIVERSITY OF IDAHO
Awardee Address,"875 PERIMETER DRIVE MS 3020 MOSCOW, ID 83844-9803"
Official Awardee Email Address,osp@uidaho.edu
Unique Entity Identifier (DUNS ID),Not Found
Amendment Type,Renewal
Amendment Date,05/11/2022
Proposal Number,2146269
Award Instrument,Continuing Grant
Award Date,05/11/2022
Award Period of Performance Start Date,05/15/2022
Award Period of Performance End Date,04/30/2027
Project Title,CyberCorps Scholarship for Service (Renewal): Preparing an Adaptable Cyber Security Workforce
Managing Division Abbreviation,DGE
Research and Development Award,Yes
Funding Opportunity,NSF 21-580 CyberCorps(R) Scholarship for Service
CFDA Number and Name,47.076 Education and Human Resources
Amount Obligated by this Amendment,"$1,410,908"
Total Intended Award Amount,"$4,460,195"
Total Approved Cost Share or Matching Amount,$0
Total Amount Obligated to Date,"$1,410,908"
Expenditure Limitation,Not Applicable
Fiscal Year Increment Amount (for each year),"2024 $1,180,150, 2025 $1,074,029, 2026 $795,108"
Principal Investigator Name,Jim Alves-Foss
Principal Investigator Email,jimaf@uidaho.edu
Principal Investigator Institution,REGENTS OF THE UNIVERSITY OF IDAHO
List of Co-Principal Investigator names,"Michael Haney, Jia Song"
List of Co-Principal Investigator emails,"mhaney@uidaho.edu, jsong@uidaho.edu"
Managing Grants Official Name and Email,"Cartia Brown-Morgan, cbrownmo@nsf.gov"
Awarding Official Name and Email,"LeVar R. Farrior, lfarrior@nsf.gov"
Managing Program Officer Name and Email,"Li Yang, liyang@nsf.gov"
Indirect Cost Rate,50.0000%
Senior Personnel Count,6.00
Senior Personnel Calendar Months,4.50
Senior Personnel Academic Months,0.00
Senior Personnel Summer Months,0.00
Senior Personnel Amount,"$61,377"
Post Doctoral Count,0.00
Post Doctoral Calendar Months,0.00
Post Doctoral Academic Months,0.00
Post Doctoral Summer Months,0.00
Post Doctoral Amount,$0
Other Professionals Count,2.00
Other Professionals Calendar Months,8.40
Other Professionals Academic Months,0.00
Other Professionals Summer Months,0.00
Other Professionals Amount,"$39,835"
Graduate Students Count,2.00
Graduate Students Amount,"$26,880"
Undergraduate Students Count,0.00
Undergraduate Students Amount,$0
Secretarial - Clerical Count,0.00
Secretarial - Clerical Amount,$0
Other Count,0.00
Other Amount,$0
Fringe Benefits,"$36,609"
Equipment,$0
Travel: Domestic,"$18,000"
Travel: International,$0
Participant Support Costs Stipends,"$606,000"
Participant Support Costs Travel,$0
Participant Support Costs Subsistence,$0
Participant Support Costs Other,"$503,855"
Total Number of Participants,21.00
Total Participant Costs (F),"$1,109,855"
Materials Supplies,"$8,000"
Publication Costs,"$6,000"
Consultant Services,$0
Computer Services,$0
Subawards,$0
Other Direct Costs: Other,"$4,000"
Total Direct Costs (A Through G),"$1,310,556"
Indirect Costs,"$100,352"
Total Direct and Indirect Costs (H + I),"$1,410,908"
Fees,$0
Total Amount of Request (J) OR (J + K),"$1,410,908"
pdf_title,Select or Upload PDFs
