Award Number (FAIN),2019231
Amendment Number,000
Award Recipient,Regents of the University of Idaho
Awardee Address,"Office of Sponsored Programs 875 Perimeter Drive MS 3020 MOSCOW, ID 838443020"
Official Awardee Email Address,osp@uidaho.edu
Unique Entity Identifier (DUNS ID),075746271
Amendment Type,New Project
Amendment Date,08/25/2020
Proposal Number,2019231
Award Instrument,Standard Grant
Award Date,08/25/2020
Award Period of Performance Start Date,09/01/2020
Award Period of Performance End Date,08/31/2023
Project Title,MRI: Acquisition of a 3D Printer for Studying Biofluids and Biomechanics
Managing Division Abbreviation,CBET
Research and Development Award,Yes
Funding Opportunity,NSF 18-513 Major Research Instrumentation Program:
CFDA Number and Name,47.041 Engineering Grants
Amount Obligated by this Amendment,"$252,542"
Total Intended Award Amount,"$252,542"
Total Approved Cost Share or Matching Amount,"$108,232"
Total Amount Obligated to Date,"$252,542"
Expenditure Limitation,Not Applicable
Fiscal Year Increment Amount (for each year),Not Found
Principal Investigator Name,Tao Xing
Principal Investigator Email,xing@uidaho.edu
Principal Investigator Institution,Regents of the University of Idaho
List of Co-Principal Investigator names,"Gordon Murdoch, Vibhav Durgesh, Nathan R Schiele, Bryn Martin"
List of Co-Principal Investigator emails,"gmurdoch@uidaho.edu, vdurgesh@uidaho.edu, nrschiele@uidaho.edu, brynm@uidaho.edu"
Managing Grants Official Name and Email,"Denise B. Robinson, drobinso@nsf.gov"
Awarding Official Name and Email,"Denise B. Robinson, drobinso@nsf.gov"
Managing Program Officer Name and Email,"Harsha Chelliah, hchellia@nsf.gov"
Indirect Cost Rate,Not Found
Senior Personnel Count,0.00
Senior Personnel Calendar Months,0.00
Senior Personnel Academic Months,0.00
Senior Personnel Summer Months,0.00
Senior Personnel Amount,$0
Post Doctoral Count,0.00
Post Doctoral Calendar Months,0.00
Post Doctoral Academic Months,0.00
Post Doctoral Summer Months,0.00
Post Doctoral Amount,$0
Other Professionals Count,0.00
Other Professionals Calendar Months,0.00
Other Professionals Academic Months,0.00
Other Professionals Summer Months,0.00
Other Professionals Amount,$0
Graduate Students Count,0.00
Graduate Students Amount,$0
Undergraduate Students Count,0.00
Undergraduate Students Amount,$0
Secretarial - Clerical Count,0.00
Secretarial - Clerical Amount,$0
Other Count,0.00
Other Amount,$0
Fringe Benefits,$0
Equipment,"$252,542"
Travel: Domestic,$0
Travel: International,$0
Participant Support Costs Stipends,$0
Participant Support Costs Travel,$0
Participant Support Costs Subsistence,$0
Participant Support Costs Other,$0
Total Number of Participants,0.00
Total Participant Costs (F),$0
Materials Supplies,$0
Publication Costs,$0
Consultant Services,$0
Computer Services,$0
Subawards,$0
Other Direct Costs: Other,$0
Total Direct Costs (A Through G),"$252,542"
Indirect Costs,$0
Total Direct and Indirect Costs (H + I),"$252,542"
Fees,$0
Total Amount of Request (J) OR (J + K),"$252,542"
pdf_title,Select or Upload PDFs
